"","ID","iso3","alloc_key","cell5m","x","y","bean, common","cacao","cassava","chick pea","coconut","coffee arabica","coffee robusta","cowpea","groundnut","lentil","maize","pearl millet","pigeon pea","plantain bananas","potato","sesame seed","sorghum (med. altitude)","soyabean","sugar beet","sunflower","sweet potato","tea","tobacco","wheat, common"
"776",776,"KEN","10772578",4650897,34.7916666658,0.2916666663,1,0.81127268075943,0.810810804367065,1,0.615499973297119,0.916666686534882,0.226190477609634,0.965200066566467,0.770333290100098,1,1,0.611538469791412,1,0,1,0.995000004768372,0.757999956607819,0.940399944782257,0.379310339689255,1,1,0.811188817024231,1,0.798816561698914
"777",777,"KEN","10772579",4650898,34.8749999991,0.2916666663,1,0.78581827878952,0.833333313465118,1,0.58050012588501,0.881944417953491,0.214285716414452,0.932399928569794,0.747333347797394,1,1,0.595692276954651,1,0,1,0.974399924278259,0.72599995136261,0.914600014686584,0.355263143777847,1,0.9921875,0.807692289352417,1,0.769230782985687
"778",778,"KEN","10772580",4650899,34.9583333325,0.2916666663,1,0.761818110942841,0.837999939918518,1,0.547499895095825,0.805555582046509,0.107142858207226,0.908399939537048,0.723666667938232,0.987046658992767,1,0.58323073387146,1,0,0.997584521770477,0.958199977874756,0.712857127189636,0.868399977684021,0.276315778493881,1,1,0.702380955219269,1,0.733727812767029
"779",779,"KEN","10772582",4650901,35.1249999991,0.2916666663,1,0.416666656732559,0.663999915122986,1,0.192307695746422,0.347222208976746,0,0.729200065135956,0.554666697978973,1,0.901785731315613,0.420615404844284,0.889500141143799,0,1,0.729200065135956,0.533428609371185,0.688600063323975,0.631578922271729,0.990500032901764,0.640625,0,1,0.899408280849457
"780",780,"KEN","10772583",4650902,35.2083333325,0.2916666663,1,0.0555555559694767,0.651600062847137,1,0.0576923079788685,0.180555552244186,0,0.700399994850159,0.543000042438507,1,0.902249932289124,0.401384562253952,0.875499963760376,0,1,0.721799969673157,0.515571415424347,0.675999999046326,0.763157904148102,0.980000019073486,0.390625,0,1,1
"781",781,"KEN","10772584",4650903,35.2916666658,0.2916666663,1,0,0.555555582046509,0.784615397453308,0,0,0,0.630800068378448,0.480000019073486,1,0.82450008392334,0.353538513183594,0.754250049591064,0,0.98305082321167,0.659600079059601,0.450571477413177,0.5,0.551724135875702,0.784615397453308,0.140625,0,0.688888907432556,0.792207777500153
"782",782,"KEN","10772585",4650904,35.3749999991,0.2916666663,1,0,0.5,0.615384638309479,0,0,0,0.593999981880188,0.283018857240677,0.830769240856171,0.785749971866608,0.329692304134369,0.707749962806702,0,0.796610176563263,0.628600001335144,0.424285680055618,0.224999994039536,0.241379305720329,0.615384638309479,0,0,0.444444447755814,0.649350643157959
"783",783,"KEN","10772586",4650905,35.4583333325,0.2916666663,0.94866669178009,0,0.444444447755814,0.6307692527771,0,0,0,0.516800045967102,0.301886796951294,0.846153855323792,0.69225001335144,0.272153854370117,0.609250009059906,0,0.813559293746948,0.553799986839294,0.369142860174179,0.25,0.241379305720329,0.6307692527771,0,0,0.466666668653488,0.66233766078949
"784",784,"KEN","10772587",4650906,35.5416666658,0.2916666663,0.864888906478882,0,0.346000015735626,0.692307710647583,0,0.0555555559694767,0,0.408800035715103,0.28833332657814,0.877400040626526,0.598000049591064,0.214153870940208,0.511000037193298,0,0.807500004768372,0.443600028753281,0.316857159137726,0.349999994039536,0.379310339689255,0.692307710647583,0.046875,0,0.555555582046509,0.714285731315613
"785",785,"KEN","10772588",4650907,35.6249999991,0.2916666663,1,0,0.472222208976746,0.64615386724472,0.15384615957737,0,0,0.677600085735321,0.320754706859589,0.861538469791412,0.886500120162964,0.391692370176315,0.808000087738037,0,0.830508470535278,0.709200084209442,0.48400005698204,0.275000005960464,0.206896558403969,0.64615386724472,0,0,0.488888889551163,0.675324678421021
